Subject,group,VisualField,Grammaticality,Accuracy
FS-05,FS-,RVF,ungrammatical,0.717391304
FS-06,FS-,RVF,ungrammatical,0.826086957
FS-07,FS-,RVF,ungrammatical,0.826086957
FS-08,FS-,RVF,ungrammatical,0.47826087
FS-09,FS-,RVF,ungrammatical,0.456521739
FS-10,FS-,RVF,ungrammatical,0.652173913
FS-11,FS-,RVF,ungrammatical,0.760869565
FS-12,FS-,RVF,ungrammatical,0.760869565
FS-13,FS-,RVF,ungrammatical,0.695652174
FS-14,FS-,RVF,ungrammatical,0.804347826
FS-15,FS-,RVF,ungrammatical,0.847826087
FS-16,FS-,RVF,ungrammatical,0.891304348
FS-17,FS-,RVF,ungrammatical,0.717391304
FS-18,FS-,RVF,ungrammatical,0.543478261
FS-19,FS-,RVF,ungrammatical,0.826086957
FS-20,FS-,RVF,ungrammatical,0.826086957
FS-21,FS-,RVF,ungrammatical,0.869565217
FS-22,FS-,RVF,ungrammatical,0.847826087
FS-23,FS-,RVF,ungrammatical,0.608695652
FS-24,FS-,RVF,ungrammatical,0.760869565
FS-25,FS-,RVF,ungrammatical,0.739130435
FS-26,FS-,RVF,ungrammatical,0.804347826
FS-27,FS-,RVF,ungrammatical,0.804347826
FS-28,FS-,RVF,ungrammatical,0.804347826
FS-29,FS-,RVF,ungrammatical,0.782608696
FS-30,FS-,RVF,ungrammatical,0.717391304
FS-31,FS-,RVF,ungrammatical,0.891304348
FS-32,FS-,RVF,ungrammatical,0.934782609
FS-33,FS-,RVF,ungrammatical,0.782608696
FS-34,FS-,RVF,ungrammatical,0.739130435
FS-35,FS-,RVF,ungrammatical,0.891304348
FS+01,FS+,RVF,ungrammatical,0.869565217
FS+02,FS+,RVF,ungrammatical,0.739130435
FS+03,FS+,RVF,ungrammatical,0.369565217
FS+04,FS+,RVF,ungrammatical,0.652173913
FS+05,FS+,RVF,ungrammatical,0.47826087
FS+06,FS+,RVF,ungrammatical,0.847826087
FS+07,FS+,RVF,ungrammatical,0.782608696
FS+08,FS+,RVF,ungrammatical,0.804347826
FS+09,FS+,RVF,ungrammatical,0.760869565
FS+10,FS+,RVF,ungrammatical,0.565217391
FS+11,FS+,RVF,ungrammatical,0.717391304
FS+12,FS+,RVF,ungrammatical,0.869565217
FS+13,FS+,RVF,ungrammatical,0.804347826
FS+14,FS+,RVF,ungrammatical,0.97826087
FS+15,FS+,RVF,ungrammatical,0.652173913
FS+16,FS+,RVF,ungrammatical,0.826086957
FS+17,FS+,RVF,ungrammatical,0.760869565
FS+18,FS+,RVF,ungrammatical,0.804347826
FS+19,FS+,RVF,ungrammatical,0.891304348
FS+20,FS+,RVF,ungrammatical,0.934782609
FS+21,FS+,RVF,ungrammatical,0.869565217
FS+22,FS+,RVF,ungrammatical,0.869565217
FS+23,FS+,RVF,ungrammatical,0.956521739
FS+24,FS+,RVF,ungrammatical,0.782608696
FS+25,FS+,RVF,ungrammatical,0.97826087
FS+26,FS+,RVF,ungrammatical,0.847826087
FS+27,FS+,RVF,ungrammatical,0.760869565
FS+28,FS+,RVF,ungrammatical,0.913043478
FS+29,FS+,RVF,ungrammatical,0.826086957
FS-01,FS-,RVF,grammatical,0.826086957
FS-02,FS-,RVF,grammatical,0.869565217
FS-03,FS-,RVF,grammatical,0.782608696
FS-04,FS-,RVF,grammatical,0.826086957
FS-05,FS-,RVF,grammatical,0.695652174
FS-06,FS-,RVF,grammatical,0.913043478
FS-07,FS-,RVF,grammatical,0.913043478
FS-08,FS-,RVF,grammatical,0.782608696
FS-09,FS-,RVF,grammatical,0.782608696
FS-10,FS-,RVF,grammatical,0.782608696
FS-11,FS-,RVF,grammatical,0.804347826
FS-12,FS-,RVF,grammatical,0.804347826
FS-13,FS-,RVF,grammatical,0.847826087
FS-14,FS-,RVF,grammatical,0.782608696
FS-15,FS-,RVF,grammatical,0.804347826
FS-16,FS-,RVF,grammatical,0.869565217
FS-17,FS-,RVF,grammatical,0.891304348
FS-18,FS-,RVF,grammatical,0.565217391
FS-19,FS-,RVF,grammatical,0.869565217
FS-20,FS-,RVF,grammatical,0.760869565
FS-21,FS-,RVF,grammatical,0.891304348
FS-22,FS-,RVF,grammatical,0.934782609
FS-23,FS-,RVF,grammatical,0.956521739
FS-24,FS-,RVF,grammatical,0.913043478
FS-25,FS-,RVF,grammatical,0.804347826
FS-26,FS-,RVF,grammatical,0.934782609
FS-27,FS-,RVF,grammatical,0.782608696
FS-28,FS-,RVF,grammatical,0.934782609
FS-29,FS-,RVF,grammatical,0.913043478
FS-30,FS-,RVF,grammatical,0.717391304
FS-31,FS-,RVF,grammatical,0.804347826
FS-32,FS-,RVF,grammatical,0.891304348
FS-33,FS-,RVF,grammatical,0.913043478
FS-34,FS-,RVF,grammatical,0.891304348
FS-35,FS-,RVF,grammatical,0.739130435
FS+01,FS+,RVF,grammatical,0.956521739
FS+02,FS+,RVF,grammatical,0.695652174
FS+03,FS+,RVF,grammatical,0.673913043
FS+04,FS+,RVF,grammatical,0.630434783
FS+05,FS+,RVF,grammatical,0.934782609
FS+06,FS+,RVF,grammatical,0.782608696
FS+07,FS+,RVF,grammatical,0.804347826
FS+08,FS+,RVF,grammatical,0.760869565
FS+09,FS+,RVF,grammatical,0.869565217
FS+10,FS+,RVF,grammatical,0.673913043
FS+11,FS+,RVF,grammatical,0.586956522
FS+12,FS+,RVF,grammatical,0.673913043
FS+13,FS+,RVF,grammatical,0.891304348
FS+14,FS+,RVF,grammatical,0.934782609
FS+15,FS+,RVF,grammatical,0.760869565
FS+16,FS+,RVF,grammatical,0.934782609
FS+17,FS+,RVF,grammatical,0.891304348
FS+18,FS+,RVF,grammatical,0.956521739
FS+19,FS+,RVF,grammatical,1
FS+20,FS+,RVF,grammatical,0.956521739
FS+21,FS+,RVF,grammatical,0.891304348
FS+22,FS+,RVF,grammatical,0.891304348
FS+23,FS+,RVF,grammatical,0.913043478
FS+24,FS+,RVF,grammatical,0.891304348
FS+25,FS+,RVF,grammatical,0.97826087
FS+26,FS+,RVF,grammatical,0.695652174
FS+27,FS+,RVF,grammatical,0.97826087
FS+28,FS+,RVF,grammatical,1
FS+29,FS+,RVF,grammatical,0.847826087
